age,population density,education,employed,salary,chronic illness,dash speed,run speed,lives in flat,creativity,food supply,survival time
37,64.1,1,0,2627.78,1,6.680,3.348,0,41.9,0.8,4.9
51,629.8,4,0,2850.08,1,4.904,2.694,0,109.3,0.7,8.1
25,2594.7,2,1,19261.06,0,6.591,3.315,1,42.0,5.8,15.4
71,688.1,4,0,33352.32,1,5.245,0.625,0,68.1,5.9,11.1
58,1992.3,4,0,3615.58,0,5.242,2.701,0,86.9,1.1,7.0
38,255.2,0,1,13482.72,0,6.394,3.216,0,35.2,3.6,10.4
3,1225.6,0,0,0.00,1,3.811,1.498,0,31.2,0.9,5.0
49,200.7,2,1,33924.14,0,6.074,2.678,0,29.8,2.0,6.0
45,195.7,0,1,29839.01,0,6.228,2.921,0,27.1,2.3,6.1
8,3346.6,0,0,45.72,0,4.820,2.301,0,43.7,0.5,5.0
45,1015.7,4,1,23889.10,0,5.175,2.578,1,100.1,1.8,11.9
23,282.8,0,0,1844.10,1,6.550,3.185,0,37.2,1.1,6.6
20,169.0,0,0,3001.00,0,5.712,2.879,0,32.0,0.9,6.3
72,9546.7,0,0,21184.17,0,4.924,2.237,1,13.3,0.8,8.8
47,442.8,2,1,26552.38,0,6.264,3.340,0,37.4,9.7,14.0
28,3637.2,2,1,27077.76,0,5.791,2.788,1,44.1,3.3,9.6
32,1130.6,2,1,21530.40,0,6.598,3.334,1,47.9,6.1,14.7
61,531.2,1,0,2845.03,1,5.203,2.792,0,34.8,0.4,4.3
50,4778.3,2,1,40472.19,0,4.770,2.433,0,48.3,5.9,11.3
44,2629.0,2,1,33173.89,0,6.510,2.913,0,51.2,4.4,8.8
20,3509.0,3,0,2335.28,0,5.320,2.365,0,71.6,0.7,5.5
58,64.1,4,0,3727.41,1,5.627,2.275,0,89.3,1.2,7.5
70,3433.4,4,0,36609.93,0,4.268,1.602,0,75.0,3.3,8.2
8,8530.4,0,0,0.90,0,4.694,2.213,0,36.3,0.5,6.1
14,3637.2,0,0,146.99,1,5.335,2.685,0,49.0,1.1,5.6
74,25.7,0,0,19528.84,0,3.718,1.840,0,11.8,7.3,10.8
15,180.6,0,0,377.36,0,5.699,2.354,0,51.4,0.9,6.1
35,68.2,4,1,33320.91,0,6.048,2.547,0,108.7,4.3,10.7
13,4266.4,0,0,861.83,0,5.047,2.647,0,29.4,1.0,4.8
74,2008.1,4,0,35216.80,1,1.299,0.703,0,81.1,6.5,12.9
88,182.1,4,0,91067.28,0,3.222,1.472,0,65.5,11.4,16.1
4,4515.1,0,0,133.97,1,4.175,2.094,0,31.2,1.1,10.1
21,476.5,0,0,1928.86,0,5.410,2.096,0,35.4,0.8,5.2
5,365.3,0,0,0.99,1,4.412,2.311,0,26.5,1.1,6.5
23,838.4,2,0,1613.08,0,5.806,2.799,0,53.7,1.2,6.2
75,1466.4,0,0,23461.14,0,4.586,2.456,1,4.5,9.2,14.7
35,982.9,4,1,50098.43,0,6.612,3.368,1,112.3,10.2,18.4
54,127.3,1,1,21769.76,1,6.337,2.849,0,29.0,4.1,8.4
81,5171.7,0,0,25970.38,1,4.805,0.599,0,6.9,5.6,9.9
32,7838.7,3,1,27390.17,0,6.318,2.875,0,86.9,0.8,8.5
49,157.7,0,1,11404.65,0,6.540,4.047,0,30.3,3.9,8.5
56,2196.9,2,1,33262.68,0,4.281,2.176,0,45.3,4.9,9.1
58,127.3,4,1,31947.14,0,5.736,2.956,0,79.8,9.8,15.8
9,3555.7,0,0,243.36,0,5.270,2.466,0,40.0,0.3,5.8
57,91.1,3,1,26070.25,0,4.649,2.233,0,65.6,5.8,10.6
9,354.8,0,0,94.35,0,4.996,2.133,0,28.4,0.8,5.9
74,24.5,0,0,6327.85,1,0.866,0.362,0,-12.3,1.2,5.1
18,3994.1,3,1,395.43,1,6.236,2.463,0,79.0,1.2,6.2
12,7838.7,0,0,232.76,0,6.103,2.829,0,45.4,0.3,5.1
60,2634.2,2,1,22730.13,0,5.916,2.891,1,27.7,8.3,14.4
21,114.8,4,1,17051.86,1,6.012,3.356,0,93.5,6.6,12.9
0,1992.3,0,0,0.00,1,0.000,-0.296,1,40.0,0.9,8.5
53,630.1,0,1,14173.88,0,5.180,2.359,0,31.2,5.3,10.4
52,23.2,0,0,2256.66,1,4.776,2.451,0,26.6,0.2,4.9
52,4042.2,1,1,19227.20,0,4.814,1.896,1,44.9,6.0,12.2
60,200.7,4,0,3248.65,1,5.377,2.575,0,76.2,0.7,5.8
36,135.3,0,1,41259.68,0,7.300,3.533,0,32.8,10.8,15.1
4,3268.3,0,0,257.40,0,4.148,1.910,0,31.8,0.5,4.6
34,987.8,4,0,3434.74,1,6.618,3.209,0,103.7,0.3,7.7
31,3303.2,0,1,8413.70,1,5.524,2.764,1,36.2,2.9,10.9
27,4754.5,2,1,20247.10,0,7.280,3.580,1,44.7,3.1,9.9
4,4956.9,0,0,366.24,0,4.131,1.741,0,34.1,1.1,5.2
57,655.2,1,0,2745.42,1,5.313,3.044,0,23.0,0.4,4.2
29,1079.3,2,1,34593.88,1,6.844,2.992,1,71.1,3.2,11.7
32,43.1,0,1,19779.94,0,6.850,3.218,0,24.3,4.8,8.8
60,337.9,2,1,17270.31,1,5.079,2.365,0,34.7,3.4,7.7
79,629.8,0,0,21429.45,0,4.057,2.207,0,-0.4,4.6,8.1
59,1169.4,3,1,27242.17,1,6.002,2.367,0,62.5,9.7,14.3
2,3802.6,0,0,0.00,0,3.841,1.643,0,40.5,0.3,6.5
44,2008.1,2,1,22092.00,0,6.356,2.913,1,34.8,5.5,12.4
16,9660.4,2,1,1.42,0,5.702,2.775,1,68.3,0.9,10.1
6,164.5,0,0,483.40,0,4.419,2.408,0,29.5,0.9,5.0
18,161.3,0,0,2639.08,0,5.787,3.160,0,48.4,1.0,5.3
26,101.6,2,1,18854.73,0,6.039,3.743,0,54.0,4.7,9.7
55,319.6,3,1,30338.97,0,5.015,2.267,0,60.0,4.3,13.8
39,629.8,0,1,25352.31,0,7.111,3.225,0,21.8,6.8,10.7
9,634.5,0,0,25.62,0,4.846,2.732,0,45.4,1.1,5.6
43,11843.8,0,0,3130.45,0,6.152,2.969,0,23.8,0.5,5.5
13,4266.4,0,0,303.55,0,6.183,3.012,0,37.4,1.1,5.0
79,133.2,0,0,22177.99,1,0.914,0.458,0,-2.4,4.4,7.4
73,2761.3,0,0,18563.39,1,1.235,0.563,0,14.7,7.2,11.9
47,543.5,4,1,50580.05,0,4.996,3.099,0,86.3,6.9,15.2
85,559.9,3,0,29931.22,1,1.137,0.545,0,41.1,7.7,11.8
75,157.7,4,0,53823.85,1,4.775,0.539,0,67.3,2.3,7.2
3,183.4,0,0,0.00,0,3.750,1.828,0,44.8,1.2,7.6
49,24.5,4,1,43912.98,0,5.399,2.282,0,99.1,11.9,17.8
54,282.8,1,1,23781.36,0,4.845,2.704,0,26.3,3.7,8.9
80,747.7,0,0,17594.08,1,0.935,0.474,0,1.9,2.8,6.2
63,79.4,4,0,3513.76,0,4.259,2.080,0,83.7,0.9,8.2
8,4283.0,0,0,72.13,0,4.949,2.572,0,40.7,0.7,5.1
57,1786.3,2,0,3105.86,0,4.659,2.090,1,45.9,1.2,8.0
34,192.9,4,1,27347.96,0,6.253,3.080,0,96.1,3.1,10.0
8,349.1,0,0,460.76,0,5.001,2.750,0,38.7,1.1,5.5
80,741.6,4,0,29466.25,0,4.315,1.983,0,75.6,8.4,14.8
53,389.9,2,1,27691.31,0,5.190,2.579,0,39.6,4.2,8.7
60,23.2,4,0,3521.89,1,5.496,2.672,0,88.8,0.7,6.0
74,2196.9,0,0,30314.25,1,1.306,0.640,1,9.8,5.7,11.3
4,6113.9,0,0,17.93,0,4.124,2.103,1,40.2,0.2,8.0
51,1506.8,0,1,9077.79,0,5.092,2.648,1,28.8,2.0,8.2
61,10609.4,3,0,3191.35,1,5.434,2.824,0,51.0,0.3,4.9
26,10609.4,4,1,24492.06,1,6.626,3.306,1,96.3,1.0,8.5
47,1417.1,4,1,35781.25,1,5.995,2.932,0,108.8,2.8,10.3
35,2594.7,4,1,21589.92,0,6.791,3.432,0,91.3,6.0,11.4
48,6591.8,0,0,2348.90,1,5.610,2.738,0,27.4,1.1,5.1
68,234.2,1,0,17869.02,1,0.998,0.440,0,18.4,7.0,10.6
56,4295.9,1,0,2984.85,0,4.987,2.267,0,21.7,0.5,4.8
48,164.5,4,1,35537.38,0,4.791,2.512,0,97.6,9.7,15.5
75,2332.3,1,0,24921.49,1,5.338,0.677,0,17.3,1.8,6.9
35,1275.2,4,0,3266.66,0,6.393,3.301,0,113.2,0.5,8.0
57,929.0,4,1,31013.51,1,5.611,2.896,0,94.5,3.6,9.8
28,292.9,2,1,34884.91,0,6.214,3.079,0,60.1,4.5,9.0
60,1506.8,3,1,21887.35,0,5.147,2.730,1,62.0,8.6,15.8
73,4078.2,0,0,14066.48,1,4.951,0.610,0,4.4,4.0,8.2
18,5723.0,0,0,2957.62,0,6.367,3.082,0,27.0,1.1,5.0
21,182.1,4,1,10282.51,0,6.221,2.820,0,90.0,2.5,8.8
2,1948.7,0,0,0.00,0,3.855,1.747,0,49.0,1.1,6.7
33,8921.5,0,0,2863.97,0,6.621,3.130,1,35.0,0.8,7.6
34,1633.4,4,1,39064.66,1,6.997,3.228,0,97.7,8.3,13.9
19,744.2,2,1,7381.07,0,6.204,2.710,0,49.2,1.1,5.5
48,1603.6,4,1,27547.14,1,6.304,0.741,0,83.0,9.5,15.6
10,106.2,0,0,59.06,0,5.214,2.542,0,56.4,0.8,7.2
31,161.2,2,0,2698.00,0,6.399,2.852,0,56.7,0.8,5.7
20,1417.1,2,1,10288.43,0,5.589,2.661,0,55.9,0.9,5.6
41,389.9,4,1,36449.24,0,5.178,1.976,0,98.1,3.4,9.4
29,2551.3,2,1,23244.24,0,6.447,3.284,0,45.6,5.9,11.4
69,106.9,4,0,29390.76,0,3.327,1.557,0,85.5,4.7,12.6
58,2470.2,4,0,3791.59,0,5.168,2.107,1,66.7,0.4,7.5
67,2468.7,0,1,19209.39,0,4.219,2.243,1,18.4,3.3,12.1
16,624.1,1,0,1149.28,0,5.347,2.883,0,49.5,0.7,5.5
6,398.6,0,0,156.20,0,4.593,1.803,0,24.8,0.3,4.6
39,1948.7,1,1,23140.33,0,6.597,3.272,0,41.1,4.6,8.7
45,2117.7,3,1,29611.41,0,6.917,3.394,0,58.4,6.1,10.8
66,581.2,4,0,3390.67,1,1.343,0.650,0,85.7,1.0,7.1
13,371.1,0,0,12.75,0,5.356,2.696,0,49.7,0.3,5.0
29,11174.1,4,1,46891.43,1,6.576,3.770,1,93.0,0.9,9.4
62,200.7,3,1,14365.50,1,4.797,0.549,0,57.4,1.5,6.2
58,292.9,3,0,2981.69,1,5.961,3.002,0,52.7,0.9,5.3
50,640.1,3,1,22077.23,0,5.503,2.642,0,70.7,8.2,15.2
22,1357.8,0,1,16766.97,0,6.626,3.132,0,29.9,5.0,9.6
22,4780.6,1,1,32520.88,1,6.482,3.338,0,35.4,2.9,6.8
80,11872.6,3,0,38946.31,1,0.636,0.304,1,28.7,0.6,7.1
38,581.7,4,1,59990.91,0,6.222,2.969,0,102.7,10.0,16.3
42,2785.7,4,0,2950.70,0,5.285,2.912,1,96.2,1.1,8.8
12,6113.9,0,0,1143.14,0,5.672,3.031,1,31.2,1.1,7.6
2,1492.8,0,0,0.00,0,3.641,1.659,0,41.0,0.7,5.7
32,157.7,4,1,27444.23,0,7.067,3.445,0,99.9,1.9,8.4
16,9660.4,1,1,123.61,0,5.853,2.882,0,48.2,0.4,5.4
68,121.9,0,0,21224.51,1,1.347,0.678,0,9.8,4.9,9.2
51,543.5,3,1,31890.17,0,5.518,3.054,0,60.1,5.5,10.3
32,182.1,4,0,3455.72,1,6.182,0.720,0,110.7,1.4,7.2
25,1015.7,3,1,17311.51,0,6.697,3.659,1,75.6,4.7,12.6
70,195.7,4,0,24449.79,1,5.193,0.752,0,82.0,3.6,9.0
19,186.8,3,1,10455.72,0,6.103,2.734,0,68.4,1.5,7.0
32,5723.0,4,1,47017.97,0,6.454,3.551,1,100.9,4.2,12.5
52,4956.9,2,1,18137.35,0,5.044,2.716,1,41.2,1.4,8.1
24,96.7,0,1,22521.22,0,6.164,3.260,0,37.4,3.7,9.2
75,91.8,2,0,32791.98,0,3.076,1.214,0,3.7,4.7,8.9
3,157.3,0,0,0.00,0,3.994,2.046,0,43.7,0.8,5.0
23,3802.6,4,1,15768.22,0,6.316,3.360,1,98.4,3.0,13.3
69,583.2,4,0,39999.23,1,1.436,0.636,0,84.2,9.8,19.0
44,133.2,4,1,36792.10,0,6.838,3.275,0,105.0,6.7,13.4
71,161.3,4,0,26768.11,0,4.923,2.474,0,79.8,9.2,15.3
79,118.7,3,0,25476.56,1,4.076,0.478,0,47.4,2.8,9.3
75,180.8,0,0,18646.92,1,4.338,0.584,0,15.0,2.7,6.1
22,559.9,4,1,10550.32,0,6.837,3.207,0,88.9,0.7,6.5
86,1700.6,2,0,30513.45,1,3.731,0.542,1,18.1,4.9,10.9
11,407.6,0,0,764.31,0,5.292,2.762,0,32.8,0.8,5.3
23,581.7,4,0,1704.95,0,5.821,2.834,0,97.7,0.9,6.6
68,584.9,2,1,23636.08,1,1.409,0.754,0,38.6,2.6,7.3
77,321.7,0,0,19034.49,1,0.897,0.443,0,8.1,5.6,10.3
22,584.9,0,1,8678.29,1,5.445,3.062,0,39.1,2.2,8.0
70,1466.4,3,1,31570.28,1,1.408,0.648,0,61.1,3.6,8.8
60,3480.6,4,1,21819.31,0,4.541,2.314,0,84.0,6.3,12.1
69,188.0,2,0,28386.08,1,1.129,0.652,0,29.6,4.9,9.3
45,6053.4,2,1,26446.13,1,5.942,2.727,0,52.5,0.8,5.2
34,581.7,2,1,20321.86,0,6.015,2.788,0,52.5,6.1,10.7
65,630.1,1,1,12404.20,0,4.467,2.255,0,29.3,3.3,7.8
4,234.2,0,0,22.57,0,4.134,1.782,0,28.5,0.9,6.1
46,1633.4,1,1,32405.25,1,1.621,0.841,1,45.9,6.1,12.8
7,268.2,0,0,469.87,0,4.525,2.073,0,36.0,1.0,5.0
9,1786.3,0,0,188.00,0,4.798,2.518,0,18.6,1.1,7.0
3,449.3,0,0,0.00,0,4.053,2.190,0,36.1,0.6,6.0
70,100.6,4,0,23871.10,1,5.723,0.697,0,74.8,7.8,12.9
33,2594.7,4,1,25484.35,0,6.749,3.188,0,90.3,4.7,12.1
30,96.8,0,1,22499.93,0,6.098,3.028,0,40.1,8.0,12.1
35,1706.0,2,1,31035.87,0,6.330,3.198,0,54.8,3.8,8.3
3,2594.7,0,0,0.00,0,3.760,1.799,0,51.8,0.5,5.9
8,357.4,0,0,286.37,0,4.753,2.211,0,28.2,0.8,4.8
32,14589.2,4,1,64118.28,1,5.617,3.122,1,107.9,0.8,11.0
54,278.1,4,1,37647.98,0,4.712,2.648,0,93.0,5.6,11.3
31,96.7,4,0,3269.92,0,6.083,3.154,0,106.9,0.3,6.5
55,157.0,4,1,15465.65,1,6.430,0.670,0,90.0,3.6,9.5
54,629.8,0,1,16797.69,0,5.022,2.420,0,12.0,3.8,7.1
60,308.3,2,0,2279.20,0,4.795,2.562,0,33.7,0.9,5.8
62,1153.5,3,1,28729.16,1,3.710,0.437,1,55.7,2.3,9.0
7,4295.9,0,0,120.22,0,4.797,2.282,1,31.6,0.9,8.7
40,6591.8,0,1,17131.76,1,5.273,2.678,1,43.7,1.1,10.1
69,2785.7,2,0,22576.97,0,4.507,2.297,1,33.3,4.6,13.1
56,200.6,2,1,20536.11,0,5.472,2.096,0,32.7,2.7,6.6
44,1948.7,0,1,12569.46,0,6.381,3.283,1,31.0,3.2,9.0
55,157.0,3,0,3188.11,0,5.227,2.597,0,66.6,0.7,5.7
41,503.5,3,1,40435.67,1,5.858,2.901,0,74.8,8.4,13.5
25,1706.0,0,1,21268.84,1,6.341,3.283,1,44.5,3.0,9.3
0,2332.3,0,0,0.00,0,0.000,0.281,0,34.8,1.0,5.8
70,106.2,1,0,16851.49,1,1.160,0.567,0,30.7,3.4,8.3
45,3637.2,4,1,26899.57,0,5.450,2.773,1,99.6,4.2,11.8
59,2233.0,4,0,3548.83,0,4.794,2.437,0,92.7,1.1,8.2
40,69.6,1,1,25330.19,1,6.478,3.055,0,41.8,4.2,8.3
75,41.6,4,0,33602.33,0,4.245,1.545,0,57.5,2.1,8.6
19,5171.7,3,0,2619.64,0,6.857,3.375,0,59.1,0.7,5.6
22,1130.6,2,1,7115.48,0,5.202,2.543,0,37.5,1.0,5.1
47,1357.8,4,0,3558.51,0,6.028,2.871,1,97.6,0.8,9.3
20,6591.8,0,1,14814.79,0,6.677,3.186,0,46.1,1.1,5.3
32,2551.0,2,1,31244.13,0,7.018,3.323,1,54.3,5.1,11.5
20,9584.0,0,1,31967.48,0,6.082,2.592,0,46.1,0.3,4.8
6,186.8,0,0,45.70,0,4.478,2.274,0,41.5,0.2,4.3
68,82.6,3,0,19754.30,0,4.681,1.954,0,44.5,5.5,10.1
38,4266.4,4,1,34959.17,0,6.747,3.662,0,91.9,5.8,13.0
57,125.5,0,1,14685.67,1,4.409,0.515,0,16.8,4.4,9.3
67,200.6,2,0,2932.43,1,4.657,0.539,0,30.6,1.2,5.4
41,278.1,3,0,3133.16,0,5.503,2.846,0,74.5,0.3,7.5
62,3057.6,0,1,14464.60,0,4.611,2.125,0,18.1,3.4,9.1
42,2332.3,2,1,33337.54,0,6.059,2.719,0,49.2,4.5,12.0
3,398.6,0,0,0.00,0,3.905,1.974,0,34.5,0.5,7.0
42,161.2,0,1,41812.12,1,6.945,3.346,0,25.0,5.6,9.6
85,375.9,0,0,12436.55,1,3.526,0.488,0,8.0,3.7,8.0
20,1506.8,2,0,2579.04,0,5.623,3.013,0,45.8,0.2,7.2
35,629.8,3,1,28903.24,0,6.339,3.157,0,59.3,2.7,10.0
33,4515.1,4,1,42049.21,0,7.105,3.713,0,106.8,5.9,15.3
25,118.7,4,1,29253.12,0,6.857,3.182,0,100.9,11.3,17.6
86,53.2,4,0,51303.31,0,3.489,1.710,0,61.2,10.8,15.5
57,1700.6,1,0,2766.84,0,4.759,2.360,1,21.6,0.4,6.1
55,507.1,1,0,3015.41,0,6.259,2.851,0,8.1,0.8,4.0
23,229.4,4,1,19193.86,0,6.412,3.158,0,96.8,2.2,11.1
23,154.2,4,0,2532.04,0,6.649,3.130,0,110.3,0.7,6.7
18,245.3,0,0,2205.09,0,6.869,3.698,0,25.1,0.4,4.9
73,3480.6,0,0,5936.56,0,5.270,2.343,1,0.5,0.7,8.8
25,166.7,0,1,38894.91,0,6.315,3.029,0,29.8,8.7,15.1
24,43.1,4,1,26262.73,1,5.777,2.676,0,91.1,7.0,12.6
20,1492.8,3,1,17773.37,0,6.222,2.981,1,67.5,2.0,9.4
80,11843.8,0,0,26432.79,0,3.211,1.634,0,15.9,0.7,6.8
39,1378.1,4,1,36623.98,0,7.073,3.456,0,98.6,7.9,14.6
57,200.7,2,1,23975.29,0,4.838,2.496,0,45.8,7.6,14.8
74,634.5,4,0,32946.47,1,4.798,0.635,0,62.6,7.7,17.6
26,581.7,4,0,3754.61,1,6.838,0.713,0,90.5,0.4,6.9
83,7838.7,4,0,48443.13,1,4.580,0.499,1,71.5,1.4,9.2
48,1466.4,4,1,44205.54,1,5.563,2.730,0,96.4,2.7,8.4
13,2196.9,0,0,847.61,1,5.705,3.429,0,31.3,0.5,6.6
49,2667.6,3,1,29915.89,1,5.321,3.175,1,70.9,3.2,11.2
22,551.3,4,1,4572.00,0,6.440,3.176,0,96.2,1.5,7.6
21,274.9,2,1,25564.95,1,6.761,3.225,0,60.4,5.9,10.8
38,5121.8,0,1,12274.28,0,6.814,3.094,0,34.8,4.9,9.6
52,3401.7,4,0,2585.29,1,5.045,0.681,0,100.0,0.5,7.5
43,1948.7,3,1,15941.21,1,4.877,2.533,0,58.7,4.3,10.3
78,365.3,2,0,28193.35,0,2.939,1.492,0,10.5,7.1,10.6
18,4078.2,0,0,1587.35,0,6.641,3.529,0,43.5,0.5,5.0
16,389.9,1,0,1273.83,0,6.179,2.922,0,49.6,0.9,5.2
46,296.4,0,1,11629.06,0,4.961,2.170,0,38.3,1.8,5.9
26,282.8,4,1,25155.31,0,5.844,2.896,0,100.5,7.9,13.8
35,142.8,4,1,60084.83,1,6.042,2.713,0,90.7,5.3,10.9
79,2332.3,0,0,41285.77,1,5.328,0.731,0,1.8,7.0,10.7
